depth,age,abb_pic_mix,abies_b,acer_mix,acer_r,acer_s,alnus_c,alnus_mix,alnus_r,betula_mix,corylus_c,eucalyptus,juni_thuya,npp_mix,picea_mix,pinus_b_mix,pinus_mix,pinus_s,quercus_r,tricolp_mix,tripor_mix,unknown
1029,9099,118,41,4,1,2,0,2,2,20,2,7,22,183,65,184,279,29,5,12,32,58
1032,9166,88,15,9,5,3,0,1,1,17,3,6,35,244,64,109,222,44,2,12,32,47
1035,9232,70,20,16,9,7,2,4,2,31,5,7,51,297,41,137,271,58,6,25,56,68
1038,9300,32,7,9,5,4,0,2,2,12,2,3,13,94,20,46,72,9,1,12,21,19
1041,9367,92,24,8,5,3,0,2,2,33,4,8,28,252,55,77,140,19,5,16,48,41
1044,9434,184,53,27,15,8,1,8,7,48,8,15,39,404,109,176,308,54,14,47,81,108
1047,9502,105,15,6,3,3,1,3,2,25,4,7,17,109,81,108,180,29,2,12,41,48
1050,9570,208,33,12,3,8,0,10,10,44,4,3,39,387,161,84,167,31,11,27,63,59
1053,9638,111,28,12,5,6,0,0,0,35,6,5,37,138,70,48,123,22,6,22,49,41
1056,9706,115,21,14,6,8,0,9,8,43,2,15,59,292,90,55,104,20,9,25,77,62
1059,9774,84,23,5,1,4,2,5,3,6,1,1,10,131,54,52,64,4,4,13,16,18
1062,9842,142,20,13,5,7,1,2,1,22,5,8,28,264,112,84,135,17,6,23,37,39
1065,9910,239,31,52,15,34,1,7,6,55,14,39,126,638,173,157,307,54,15,80,128,149
